rgi_id,C,80;o1region,C,80;o2region,C,80;glims_id,C,80;anlys_id,N,18,0;subm_id,N,18,0;src_date,C,80;cenlon,N,24,15;cenlat,N,24,15;utm_zone,N,18,0;area_km2,N,24,15;primeclass,N,18,0;conn_lvl,N,18,0;surge_type,N,18,0;term_type,N,18,0;glac_name,C,80;is_rgi6,N,18,0;termlon,N,24,15;termlat,N,24,15;zmin_m,N,24,15;zmax_m,N,24,15;zmed_m,N,24,15;zmean_m,N,24,15;slope_deg,N,24,15;aspect_deg,N,24,15;aspect_sec,N,18,0;dem_source,C,80;lmax_m,N,18,0
RGI2000-v7.0-G-11-00276;11;11-01;G006336E44930N;752663;731;2003-08-13T00:00:00;6,353636;44,939818;32;0,0150;0;0;0;0;;0;6,352488061191900;44,939366110873400;3187,6;3288,1;3236,7;3233,9;39,64;182,8;5;COPDEM30;174
RGI2000-v7.0-G-11-00277;11;11-01;G006338E44944N;752628;731;2003-08-13T00:00:00;6,337668;44,944528;32;0,0246;0;0;0;0;FR4N01166C24 d'Alvau 1;0;6,336450669703930;44,943785530824400;3094,0;3270,3;3169,0;3171,7;32,42;243,9;6;COPDEM30;352
RGI2000-v7.0-G-11-00278;11;11-01;G006382E44944N;752688;731;2003-09-21T00:00:00;6,371707;44,936748;32;5,1471;0;0;0;0;FR4N01083B21 Blanc;0;6,406595055033910;44,933557905203500;2345,6;3956,9;3177,9;3189,9;19,89;57,4;2;COPDEM30;5772
RGI2000-v7.0-G-11-00279;11;11-01;G006380E44927N;752692;731;2003-09-21T00:00:00;6,380281;44,927325;32;0,0660;0;0;0;0;FR4N01083B19 de la Grande Sagne;0;6,381408995660510;44,925759093412400;2852,9;3144,7;2999,8;2996,3;37,16;147,5;4;COPDEM30;399
RGI2000-v7.0-G-11-00280;11;11-01;G006382E44905N;752686;731;2003-09-21T00:00:00;6,370526;44,923876;32;0,0286;0;0;0;0;FR4N01083B17 des Barres;0;6,373563521565660;44,922890242971600;2868,7;3124,4;2961,6;2979,0;36,66;149,4;4;COPDEM30;419
RGI2000-v7.0-G-11-00281;11;11-01;G006390E44934N;752701;731;2003-09-21T00:00:00;6,389248;44,934231;32;0,1408;0;0;0;0;FR4N01083B20 de Serre Soubeyran;0;6,393510351663510;44,933355470886100;2924,4;3382,7;3153,2;3154,5;35,46;115,1;4;COPDEM30;678
RGI2000-v7.0-G-11-00282;11;11-01;G006440E44952N;752730;731;2003-08-13T00:00:00;6,439917;44,951716;32;0,0234;0;0;0;0;;0;6,441074218050480;44,952299929920400;3397,2;3542,8;3473,5;3468,0;29,30;51,6;2;COPDEM30;322
RGI2000-v7.0-G-11-00283;11;11-01;G006439E44956N;752729;731;2003-08-13T00:00:00;6,438085;44,957386;32;1,0056;0;0;0;0;FR4N01084A04 du Casset 2;0;6,442666644875070;44,964022846066100;2542,8;3589,0;3130,4;3123,4;28,61;22,9;2;COPDEM30;2038
RGI2000-v7.0-G-11-00284;11;11-01;G006434E44960N;752728;731;2003-08-13T00:00:00;6,434325;44,960169;32;0,0263;0;0;0;0;FR4N01084A04 du Casset 1;0;6,436090380918170;44,960456031271900;3056,2;3209,0;3124,6;3130,5;36,49;84,5;3;COPDEM30;248
RGI2000-v7.0-G-11-00285;11;11-01;G006431E44963N;752725;731;2003-08-13T00:00:00;6,430591;44,962756;32;0,1911;0;0;0;0;FR4N01084B01 du Reou d'Arsine;0;6,429512588954160;44,966176527258900;2747,1;3236,3;2986,5;2979,3;33,76;340,6;1;COPDEM30;866
RGI2000-v7.0-G-11-00286;11;11-01;G006455E44957N;752733;731;2003-09-21T00:00:00;6,452695;44,957092;32;0,0801;0;0;0;0;FR4N01084A03 des Pres les Fonts;0;6,455563226623050;44,957322127715000;2784,5;3026,5;2871,7;2876,7;33,18;51,3;2;COPDEM30;481
RGI2000-v7.0-G-11-00287;11;11-01;G006414E45017N;752719;731;2003-08-13T00:00:00;6,414633;45,016841;32;0,0251;0;0;0;0;FR4N01xxxxxx de Combeynot;0;6,415126965937420;45,017750571336600;2699,6;2886,9;2759,6;2764,6;41,82;345,4;1;COPDEM30;308
RGI2000-v7.0-G-11-00288;11;11-01;G006440E45066N;752731;731;2003-08-13T00:00:00;6,441084;45,066751;32;0,0640;0;0;0;0;FR4N01154C09 de la Clapiere;0;6,442500297332460;45,067789082295800;2574,3;2833,8;2646,0;2664,9;37,53;18,2;1;COPDEM30;332
RGI2000-v7.0-G-11-00289;11;11-01;G006334E45099N;752619;731;2003-08-13T00:00:00;6,334844;45,099503;32;0,0153;0;0;0;0;FR4N01164C04 du Goleon;0;6,335325780796870;45,099907435667500;2894,7;2953,3;2914,0;2916,3;23,03;42,3;2;COPDEM30;139
RGI2000-v7.0-G-11-00290;11;11-01;G006322E45109N;752599;731;2003-08-13T00:00:00;6,321937;45,108529;32;0,7338;0;0;0;0;FR4N01164C05 Lombard;0;6,329100104641020;45,108800433020000;2972,6;3329,0;3147,2;3143,4;21,35;45,7;2;COPDEM30;1157
RGI2000-v7.0-G-11-00291;11;11-01;G006340E45124N;752635;731;2003-08-13T00:00:00;6,342426;45,123037;32;0,1238;0;0;0;0;FR4N01154C17 de Gros Jean;0;6,343736414637590;45,122085337815400;2783,5;3226,2;2931,3;2964,8;36,90;87,1;3;COPDEM30;793
RGI2000-v7.0-G-11-00292;11;11-01;G006341E45127N;752631;731;2003-08-13T00:00:00;6,340405;45,127895;32;0,0709;0;0;0;0;FR4N01154C18 des Aiguilles d'Arves;0;6,343019394625410;45,125896766832700;2948,0;3167,8;3073,3;3063,8;29,90;95,5;3;COPDEM30;402
RGI2000-v7.0-G-11-00293;11;11-01;G006159E45160N;752460;731;2003-08-13T00:00:00;6,162553;45,161673;32;2,7407;0;0;0;1;FR4N01162B09+154D03 de Saint Sorlin;0;6,169257784235950;45,169887299859300;2654,9;3422,1;2888,4;2909,4;18,03;39,6;2;COPDEM30;2873
RGI2000-v7.0-G-11-00294;11;11-01;G006157E45173N;752454;731;2003-08-13T00:00:00;6,155703;45,170077;32;0,0427;0;0;0;0;FR4N01162B01 de Cote Blanc;0;6,157559890310590;45,170982534693000;3073,3;3211,8;3117,6;3121,1;24,45;71,1;3;COPDEM30;342
RGI2000-v7.0-G-11-00295;11;11-01;G006149E45171N;752446;731;2003-08-13T00:00:00;6,150610;45,170413;32;0,0985;0;0;0;0;FR4N01162B04 de la Cochette;0;6,145462761192390;45,171240953029600;2742,6;3133,4;2962,9;2955,1;38,22;325,9;8;COPDEM30;646
RGI2000-v7.0-G-11-00296;11;11-01;G006153E45175N;752450;731;2003-08-13T00:00:00;6,153476;45,174860;32;0,0207;0;0;0;0;FR4N01162B03 de la Cochette Nord;0;6,152551096640790;45,175168456989300;2846,9;2985,9;2902,5;2906,1;48,58;331,1;8;COPDEM30;137
RGI2000-v7.0-G-11-00297;11;11-01;G006141E45161N;752437;731;2003-08-13T00:00:00;6,142571;45,159828;32;0,4850;0;0;0;0;FR4N01162B06 Nord de la Barbarat;0;6,137005418486190;45,163714630152200;2705,5;3203,7;2998,2;2980,5;25,21;313,4;8;COPDEM30;1013
RGI2000-v7.0-G-11-00298;11;11-01;G006137E45153N;752432;731;2003-08-13T00:00:00;6,138021;45,152745;32;0,0496;0;0;0;0;FR4N01162B07 Sud de la Barbarate;0;6,136747152241100;45,153385348674200;3005,1;3257,8;3121,7;3119,9;40,35;299,5;8;COPDEM30;333
RGI2000-v7.0-G-11-00299;11;11-01;G006136E45150N;752428;731;2003-08-13T00:00:00;6,134777;45,149001;32;0,1162;0;0;0;1;Glacier des Rousses_8;0;6,130263827923040;45,147947527032000;2762,3;3064,1;2873,2;2871,9;27,49;301,6;8;COPDEM30;532
RGI2000-v7.0-G-11-00300;11;11-01;G006131E45149N;752424;731;2003-08-13T00:00:00;6,131273;45,151735;32;0,0306;0;0;0;1;;0;6,130404676169290;45,151383238945400;2766,7;2828,5;2769,4;2774,4;7,82;290,3;7;COPDEM30;289
RGI2000-v7.0-G-11-00301;11;11-01;G006133E45145N;752425;731;2003-08-13T00:00:00;6,133151;45,145168;32;0,0147;0;0;0;0;FR4N01162B08 des Rousses 2;0;6,132307004885040;45,144961783993200;2986,7;3110,7;3051,1;3048,7;48,61;271,7;7;COPDEM30;127
RGI2000-v7.0-G-11-00302;11;11-01;G006129E45141N;752421;731;2003-08-13T00:00:00;6,128870;45,139855;32;0,5656;0;0;0;3;FR4N01162B08 des Rousses 4;0;6,124269135184280;45,143110596308900;2791,2;3296,2;2962,8;3003,8;27,37;307,1;8;COPDEM30;973
RGI2000-v7.0-G-11-00303;11;11-01;G006124E45132N;752417;731;2003-08-13T00:00:00;6,123371;45,132644;32;0,0824;0;0;0;0;;0;6,121880785991490;45,132318555115200;2924,7;3136,7;3012,0;3011,3;26,01;268,8;7;COPDEM30;582
RGI2000-v7.0-G-11-00304;11;11-01;G006132E45128N;752423;731;2003-08-13T00:00:00;6,130859;45,130889;32;0,5921;0;0;0;0;FR4N01163C05 du Grand Sablat 1;0;6,130187452483860;45,127298855951500;2833,3;3374,0;3229,9;3166,6;25,78;136,7;4;COPDEM30;1293
RGI2000-v7.0-G-11-00305;11;11-01;G006139E45125N;752434;731;2003-08-13T00:00:00;6,138578;45,125029;32;0,0936;0;0;0;0;;0;6,140684428384060;45,123158961440100;2628,4;2772,2;2685,4;2686,8;22,99;126,1;4;COPDEM30;364
RGI2000-v7.0-G-11-00306;11;11-01;G006128E45116N;752422;731;2003-08-13T00:00:00;6,131384;45,121533;32;0,0124;0;0;0;0;FR4N01163A02 de Sarennes 2;0;6,131235265804540;45,120738851067600;3059,7;3119,8;3090,9;3090,2;25,93;213,9;6;COPDEM30;182
RGI2000-v7.0-G-11-00307;11;11-01;G006129E45117N;752420;731;2003-08-13T00:00:00;6,128813;45,116011;32;0,3921;0;0;0;0;FR4N01163A02 de Sarennes 1;0;6,127136323061760;45,111156591018700;2824,0;3052,0;2930,5;2933,0;16,13;228,9;6;COPDEM30;1127
RGI2000-v7.0-G-11-00308;11;11-01;G006128E45140N;752416;731;2003-08-13T00:00:00;6,119000;45,122393;32;0,0440;0;0;0;1;FR4N01162B08 des Rousses 1;0;6,117528512238790;45,122154823292300;2854,5;2865,0;2856,9;2857,2;4,40;116,4;4;COPDEM30;239
RGI2000-v7.0-G-11-00309;11;11-01;G006149E45143N;752453;731;2003-08-13T00:00:00;6,154686;45,141709;32;2,1164;0;0;0;0;FR4N01163C06 des Quirlies 1;0;6,162437716586140;45,142075595957700;2577,4;3391,7;2912,8;2934,6;22,86;92,5;3;COPDEM30;2351
RGI2000-v7.0-G-11-00310;11;11-01;G006154E45150N;752451;731;2003-08-13T00:00:00;6,154125;45,149615;32;0,0353;0;0;0;0;Glacier des Quirlies_2;0;6,154288694026980;45,148013913062400;2834,0;2971,4;2873,9;2884,7;23,57;167,3;5;COPDEM30;372
RGI2000-v7.0-G-11-00311;11;11-01;G006134E45248N;752429;731;2003-08-13T00:00:00;6,135057;45,246608;32;0,1281;0;0;0;0;FR4N01154E01 de l'Argentiere 2;0;6,135394433243420;45,248657025191200;2561,7;2782,4;2673,4;2675,7;26,46;1,1;1;COPDEM30;663
RGI2000-v7.0-G-11-00312;11;11-01;G006126E45249N;752418;731;2003-08-13T00:00:00;6,126447;45,246155;32;0,0601;0;0;0;0;FR4N01xxxxxx de la Combe Madame;0;6,125723893400590;45,247718658009900;2487,0;2669,8;2555,3;2558,1;29,41;356,2;1;COPDEM30;395
RGI2000-v7.0-G-11-00313;11;11-01;G006116E45243N;752411;731;2003-08-13T00:00:00;6,113207;45,243453;32;0,0873;0;0;0;0;FR4N01xxxxxx du Rocher Blanc;0;6,115602098666880;45,243900122201600;2700,3;2818,3;2762,9;2760,1;22,61;36,6;2;COPDEM30;368
RGI2000-v7.0-G-11-00314;11;11-01;G006137E45273N;752431;731;2003-08-13T00:00:00;6,137419;45,272571;32;0,0635;0;0;0;0;FR4N01xxxxxx du Bec d'Arguille?;0;6,138994039337660;45,274273850363000;2374,4;2613,2;2458,7;2467,8;32,02;54,9;2;COPDEM30;544
RGI2000-v7.0-G-11-00315;11;11-01;G006133E45281N;752426;731;2003-08-13T00:00:00;6,133589;45,280999;32;0,0316;0;0;0;0;FR4N01xxxxxx de la Grande Valloire?;0;6,135278043089110;45,281211730233500;2605,9;2741,8;2649,0;2655,5;30,37;74,8;3;COPDEM30;278
RGI2000-v7.0-G-11-00316;11;11-01;G006125E45280N;752419;731;2003-08-13T00:00:00;6,126276;45,279499;32;0,0268;0;0;0;0;FR4N01xxxxxx d'Arguille;0;6,124198226271860;45,280578314415300;2446,2;2725,9;2545,7;2572,9;44,66;351,5;1;COPDEM30;355
RGI2000-v7.0-G-11-00317;11;11-01;G006142E45301N;752436;731;2003-08-13T00:00:00;6,141775;45,300911;32;0,0299;0;0;0;0;Glacier du Gleyzin_2;0;6,143369157253330;45,301860610914800;2587,9;2761,6;2662,9;2661,6;33,83;44,1;2;COPDEM30;289
